away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,6500,6500,222,1,0,0.0,0,0.0,75,0,2013-11-09,400499520,0,saturday,322,0,0,,01:00,59,fs2
0,6500,6500,222,0,0,0.0,1,1.0,90,0,2013-11-14,400498711,0,thursday,116,0,1,,00:00,59,cbssn
3,6500,6500,222,0,0,1.0,0,1.0,78,0,2013-11-17,400504219,-14.0,sunday,119,0,2,,22:00,44,fs1
2,6500,6500,222,0,0,0.5,2,1.0,84,0,2013-11-23,400504225,-15.0,saturday,48,0,3,,00:00,80,fs1
2,6500,6500,222,0,0,0.333,4,1.0,77,14,2013-12-05,400504483,-19.5,thursday,219,0,7,,01:00,54,fs1
8,4200,4200,2603,0,3,1.0,0,0.571,68,14,2013-12-07,400504489,3.0,saturday,222,0,4,,23:00,98,cbssn
5,6500,6500,222,0,0,0.556,4,1.0,73,10,2013-12-15,400504494,-14.0,sunday,2325,0,9,,19:30,52,fs1
5,6500,6500,222,0,0,0.556,4,1.0,88,8,2013-12-21,400502548,-21.0,saturday,2520,0,10,,21:00,67,fs1
11,28135,,183,0,0,1.0,0,1.0,78,8,2013-12-28,400502755,-5.0,saturday,222,2,11,,19:00,62,cbs
11,9318,9100,2086,0,2,0.917,1,0.833,73,11,2014-01-01,400504513,2.5,wednesday,222,0,10,,00:30,76,fs1
10,6500,6500,222,0,1,0.714,4,0.923,91,11,2014-01-06,400504519,-13.0,monday,2507,0,12,,00:00,61,fs1
13,8546,18711,2550,0,5,0.929,1,0.667,67,8,2014-01-09,400504522,9.0,thursday,222,0,10,,00:00,83,cbssn
14,11707,19812,2599,0,5,0.933,1,0.643,67,8,2014-01-11,400504527,4.5,saturday,222,0,9,,18:00,74,fs1
10,6500,6500,222,0,1,0.556,8,0.938,88,6,2014-01-18,400504537,-17.5,saturday,305,0,15,,21:00,62,fsn
15,14114,,222,0,1,0.833,3,0.941,68,4,2014-01-21,400504539,-5.5,tuesday,156,0,16,,00:00,96,fs1
16,16662,18717,269,0,8,0.889,2,0.579,85,4,2014-01-25,400504544,2.5,saturday,222,0,11,,19:00,94,fs1
17,11204,20278,46,0,8,0.895,2,0.579,60,9,2014-01-28,400504548,5.0,tuesday,222,0,11,,02:00,65,fs1
18,10206,10200,218,0,13,0.9,2,0.316,74,9,2014-02-01,400496984,11.5,saturday,222,0,6,,21:00,90,cbssn
15,6500,6500,222,0,2,0.714,6,0.905,81,6,2014-02-04,400504556,-11.0,tuesday,2752,0,19,,00:00,58,fs1
13,6500,6500,222,0,2,0.591,9,0.909,70,6,2014-02-08,400504560,-13.5,saturday,2550,0,20,,00:00,53,fs1
21,7387,17500,305,0,14,0.913,2,0.417,62,6,2014-02-13,400504568,14.0,thursday,222,0,10,,01:00,87,fs1
21,18797,15500,156,0,3,0.875,3,0.875,101,6,2014-02-16,400504573,-3.5,sunday,222,18,21,,22:00,80,fs1
22,12106,12993,2507,0,9,0.88,3,0.654,79,9,2014-02-19,400504575,5.0,wednesday,222,0,17,,00:00,82,fs1
18,17124,,222,0,3,0.667,9,0.885,57,9,2014-02-22,400504581,-11.0,saturday,2599,0,23,,18:30,54,fs1
12,6500,6500,222,0,3,0.444,15,0.889,67,8,2014-02-27,400504587,-14.5,thursday,2086,0,24,,01:00,48,fs1
17,15026,,222,0,3,0.607,11,0.893,73,8,2014-03-02,400504592,-11.5,sunday,269,0,25,,19:00,56,cbs
26,10340,10250,2752,0,10,0.897,3,0.667,70,6,2014-03-07,400504597,1.5,friday,222,0,20,,00:00,77,fs1
17,18828,,222,0,3,0.586,12,0.9,77,6,2014-03-08,400504598,-11.5,saturday,46,0,27,,19:00,59,fs1
