away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,11102,12993,2507,1,0,0.0,0,0.0,82,0,2013-11-08,400502658,-4.5,friday,103,0,0,,23:00,78,
1,6891,12993,2507,0,0,1.0,0,1.0,73,0,2013-11-14,400504462,-14.5,thursday,225,0,1,,00:00,69,fs2
0,6799,12993,2507,0,0,0.0,3,1.0,93,0,2013-11-16,400502500,-16.0,saturday,2368,0,2,,21:00,48,
1,5021,12993,2507,0,0,0.333,2,1.0,70,0,2013-11-19,400504468,-10.0,tuesday,261,0,3,,00:00,49,fs1
1,7769,12993,2507,0,1,0.167,5,0.857,78,0,2013-11-29,400504479,-18.0,friday,2217,0,6,,17:30,69,fs1
7,7657,7657,227,0,3,0.778,2,0.667,49,0,2013-12-06,400504484,7.0,friday,2507,0,6,,01:00,50,cbssn
5,3281,12993,2507,0,2,0.556,4,0.8,76,0,2013-12-18,400504496,-11.0,wednesday,43,0,8,,00:00,74,fs1
1,5328,12993,2507,0,2,0.111,8,0.818,94,0,2013-12-21,400504501,0,saturday,311,0,9,,19:00,70,fsn
10,9493,9493,113,0,1,0.833,2,0.909,69,23,2013-12-28,400504508,-10.5,saturday,2507,0,10,,23:00,67,espnu
9,9568,12993,2507,0,3,0.692,4,0.769,80,0,2013-12-31,400504511,-6.5,tuesday,2550,0,10,,19:30,81,fs1
10,6500,6500,222,0,1,0.714,4,0.923,91,11,2014-01-06,400504519,-13.0,monday,2507,0,12,,00:00,61,fs1
10,9187,12993,2507,0,5,0.769,3,0.667,70,0,2014-01-09,400504521,1.5,thursday,46,0,10,,00:00,52,fs1
11,4709,5602,2599,0,7,0.688,5,0.563,83,0,2014-01-17,400504532,-4.0,friday,2507,0,9,,00:00,84,fs1
15,11026,12993,2507,0,5,0.882,2,0.706,81,20,2014-01-19,400504535,6.0,sunday,156,0,12,,01:00,68,fs1
11,2022,12993,2507,0,5,0.611,7,0.722,65,0,2014-01-22,400504541,-5.5,wednesday,2086,0,13,,02:00,56,fs1
15,11112,12993,2507,0,5,0.789,4,0.737,81,0,2014-01-25,400504543,0,saturday,2752,0,14,,17:00,72,fs1
15,15248,18717,269,0,9,0.75,5,0.55,61,0,2014-01-31,400504551,-5.5,friday,2507,0,11,,00:00,50,fs1
15,7139,17500,305,0,11,0.714,6,0.476,72,0,2014-02-01,400504554,3.5,saturday,2507,0,10,,18:00,77,fsn
13,8798,12993,2507,0,6,0.591,9,0.727,76,0,2014-02-05,400504558,-4.5,wednesday,2599,0,16,,00:00,86,fs1
16,10250,10250,2752,0,7,0.696,7,0.682,59,0,2014-02-08,400504563,0,saturday,2507,0,15,,20:00,53,fs1
16,8063,20278,46,0,9,0.667,8,0.609,83,0,2014-02-11,400504565,-4.5,tuesday,2507,0,14,,00:00,71,fs1
10,12069,12993,2507,0,9,0.4,15,0.64,84,0,2014-02-15,400504571,-12.0,saturday,305,0,16,,19:00,61,fsn
22,12106,12993,2507,0,9,0.88,3,0.654,79,9,2014-02-19,400504575,5.0,wednesday,222,0,17,,00:00,82,fs1
17,6857,9100,2086,0,14,0.63,10,0.462,81,0,2014-02-23,400504584,-2.5,sunday,2507,0,12,,23:00,87,fs1
18,8125,18711,2550,0,14,0.643,10,0.5,69,0,2014-03-01,400504589,-2.5,saturday,2507,0,14,,00:00,74,cbssn
17,11469,12993,2507,0,10,0.586,12,0.655,81,0,2014-03-05,400504595,-3.5,wednesday,269,0,19,,02:00,80,fs1
20,18868,15500,156,0,6,0.667,10,0.793,88,13,2014-03-09,400504600,-12.5,sunday,2507,0,23,,01:00,73,cbssn
