away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,3669,4750,2628,1,0,0.0,0,0.0,71,0,2014-11-15,400585673,0,saturday,2504,0,0,,01:00,54,
0,3509,4750,2628,0,0,0.0,1,1.0,81,0,2014-11-18,400585682,0,tuesday,265,0,1,,01:00,54,
1,3425,4750,2628,0,0,1.0,0,1.0,86,0,2014-11-21,400585690,0,friday,2443,0,2,,01:00,71,
-1,3058,4750,2628,0,-1,-0.333,4,1.333,106,0,2014-11-25,400585705,0,tuesday,2400,0,4,,01:00,53,
2,3436,4750,2628,0,0,0.5,2,1.0,74,0,2014-11-27,400585701,0,thursday,2515,0,4,,01:00,50,
7,6370,9500,145,0,1,1.0,0,0.833,54,0,2014-12-05,400585722,0,friday,2628,0,5,,02:00,66,espnu
2,3548,4750,2628,0,0,0.333,4,1.0,80,0,2014-12-10,400585732,0,wednesday,231,0,8,,01:00,69,
4,4750,,2628,0,0,0.667,2,1.0,68,0,2014-12-14,400585739,0,sunday,2377,0,9,,01:00,50,
4,4089,4750,2628,0,0,0.5,4,1.0,88,0,2014-12-21,400585756,0,sunday,2636,0,10,,01:00,57,
2,3765,4750,2628,0,0,0.222,7,1.0,80,25,2014-12-23,400598805,0,tuesday,2755,0,11,,01:00,39,
2,3403,4750,2628,0,0,0.154,11,1.0,60,0,2014-12-30,400585768,0,tuesday,2634,0,12,,01:00,40,
12,4750,,2628,0,0,0.923,1,1.0,67,17,2015-01-03,400585781,0,saturday,277,0,13,,21:00,78,
13,12213,12528,2306,0,7,0.929,1,0.5,58,0,2015-01-08,400585787,0,thursday,2628,0,7,,02:00,53,espnn
11,5388,4750,2628,0,2,0.786,3,0.867,59,21,2015-01-10,400585789,0,saturday,239,0,13,,21:00,66,espn2
13,9142,15098,2641,0,7,0.813,3,0.588,42,0,2015-01-17,400585798,0,saturday,2628,0,10,,21:00,62,espnn
13,5153,4750,2628,0,3,0.765,4,0.824,48,17,2015-01-20,400585802,0,tuesday,251,0,14,,00:00,66,espnu
14,12756,14000,277,0,3,0.778,4,0.833,86,18,2015-01-24,400585809,0,saturday,2628,0,15,,19:00,85,espnu
16,5439,4750,2628,0,5,0.842,3,0.737,61,9,2015-01-29,400585816,0,thursday,2305,0,14,,02:00,64,espnu
14,14384,14356,66,0,4,0.7,6,0.789,83,15,2015-01-31,400585818,0,saturday,2628,0,15,,19:00,66,espnu
14,5405,10284,239,0,5,0.667,7,0.762,77,19,2015-02-05,400585825,0,thursday,2628,0,16,,01:30,57,espnn
15,4500,4750,2628,0,8,0.682,7,0.636,56,21,2015-02-07,400585830,0,saturday,201,0,14,,20:00,68,espnn
14,8634,16540,251,0,8,0.609,9,0.652,66,0,2015-02-12,400585836,0,thursday,2628,0,15,,01:00,43,lhn
17,4266,4750,2628,0,10,0.708,7,0.583,70,21,2015-02-14,400585839,0,saturday,197,0,14,,23:00,55,espnu
13,3804,4750,2628,0,10,0.5,13,0.6,69,0,2015-02-19,400585846,0,thursday,2306,0,15,,01:00,55,
16,16300,16300,2305,0,5,0.615,10,0.808,81,8,2015-02-21,400585851,0,saturday,2628,0,21,,21:00,72,espn2
12,3912,4750,2628,0,11,0.429,16,0.593,71,0,2015-02-26,400585855,0,thursday,2641,0,16,,01:00,54,
17,5091,11562,201,0,8,0.607,11,0.704,67,16,2015-02-28,400585856,0,saturday,2628,0,19,,19:00,60,espnu
17,5526,13611,197,0,11,0.586,12,0.607,82,0,2015-03-05,400585864,0,thursday,2628,0,17,,02:00,70,espnu
21,5076,4750,2628,0,13,0.724,8,0.567,76,17,2015-03-08,400585867,0,sunday,66,0,17,,01:30,89,espnn
