away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,6523,18711,2550,1,0,0.0,0,0.0,83,0,2013-11-09,400502488,-14.0,saturday,315,0,0,,23:00,72,fs2
2,5601,18711,2550,0,0,1.0,0,1.0,78,0,2013-11-14,400504463,-11.0,thursday,2309,0,1,,00:00,76,fs2
2,2057,3500,2382,0,1,1.0,0,0.5,77,0,2013-11-16,400499040,0,saturday,2550,0,1,,20:00,74,
1,5679,18711,2550,0,1,0.5,1,0.667,82,0,2013-11-19,400502507,-22.0,tuesday,2405,0,2,,01:00,66,fs1
2,6286,18711,2550,0,2,0.25,6,0.667,54,0,2013-12-01,400498753,-25.0,sunday,161,0,4,,19:00,58,fs1
2,6112,18711,2550,0,3,0.333,4,0.571,92,0,2013-12-06,400498765,-13.5,friday,2341,0,4,,00:00,81,fs1
5,5210,8000,164,0,5,0.625,3,0.444,71,0,2013-12-09,400496906,-2.5,monday,2550,0,4,,01:00,77,espnu
6,6443,18711,2550,0,3,0.6,4,0.667,71,0,2013-12-11,400504492,-14.5,wednesday,2885,0,6,,02:00,55,fs1
2,6725,18711,2550,0,3,0.25,6,0.7,80,0,2013-12-14,400502539,-13.0,saturday,2612,0,7,,17:00,83,fsn
5,6190,18711,2550,0,4,0.556,4,0.636,92,0,2013-12-22,400498098,-7.0,sunday,331,0,7,,22:00,70,fs1
4,1779,2600,2550,0,4,0.4,6,0.667,90,0,2013-12-28,400499592,-10.5,saturday,322,0,8,,01:00,58,fs1
9,9568,12993,2507,0,3,0.692,4,0.769,80,0,2013-12-31,400504511,-6.5,tuesday,2550,0,10,,19:30,81,fs1
11,7060,18711,2550,0,4,0.846,2,0.714,66,0,2014-01-04,400504518,8.0,saturday,156,0,10,,20:00,79,fs1
13,8546,18711,2550,0,5,0.929,1,0.667,67,8,2014-01-09,400504522,9.0,thursday,222,0,10,,00:00,83,cbssn
10,15581,18717,269,0,7,0.625,6,0.563,67,0,2014-01-11,400504525,-12.0,saturday,2550,0,9,,19:00,66,fsn
10,9786,20278,46,0,5,0.588,7,0.688,57,0,2014-01-18,400504534,-10.5,saturday,2550,0,11,,17:00,67,fs1
11,5016,5602,2599,0,8,0.611,7,0.556,77,0,2014-01-24,400504542,-5.0,friday,2550,0,10,,00:00,76,cbssn
10,8307,18711,2550,0,8,0.5,10,0.579,86,0,2014-01-25,400504546,-8.0,saturday,305,0,11,,23:00,69,cbssn
11,5826,18711,2550,0,8,0.55,9,0.6,57,0,2014-01-30,400504550,-3.5,thursday,2086,0,12,,02:00,64,fs1
12,10063,10250,2752,0,5,0.571,9,0.75,60,0,2014-02-01,400504552,-9.5,saturday,2550,0,15,,17:00,68,cbssn
13,6500,6500,222,0,2,0.591,9,0.909,70,6,2014-02-08,400504560,-13.5,saturday,2550,0,20,,00:00,53,fs1
13,6342,18711,2550,0,10,0.565,10,0.565,66,0,2014-02-12,400504566,-1.0,wednesday,269,0,13,,00:00,77,fs1
15,5636,18711,2550,0,11,0.625,9,0.542,67,0,2014-02-14,400504570,-1.5,friday,2599,0,13,,02:00,68,fs1
15,6590,18711,2550,0,12,0.6,10,0.52,82,0,2014-02-21,400504579,-2.0,friday,46,0,13,,02:00,67,cbssn
14,18742,15500,156,0,4,0.538,12,0.846,72,11,2014-02-23,400504583,-15.0,sunday,2550,0,22,,22:00,71,fsn
14,5827,17500,305,0,18,0.519,13,0.357,65,0,2014-02-26,400504586,3.5,wednesday,2550,0,10,,02:00,60,fs1
18,8125,18711,2550,0,14,0.643,10,0.5,69,0,2014-03-01,400504589,-2.5,saturday,2507,0,14,,00:00,74,cbssn
20,6286,18711,2550,0,15,0.69,9,0.483,71,0,2014-03-04,400504593,1.0,tuesday,2752,0,14,,00:00,62,fs1
15,7670,9100,2086,0,16,0.5,15,0.448,71,0,2014-03-08,400504599,-3.5,saturday,2550,0,13,,21:30,54,fs1
